,open,low,high,volume,close
2013-01-02,90.9,90.9,92.3,6996.263,90.9
2013-01-03,91.2,90.4,91.9,8447.517,90.5
2013-01-04,90.5,89.2,90.5,8054.106,89.5
2013-01-07,89.5,88.2,89.5,7488.044,88.2
2013-01-08,88.2,87.4,88.6,8142.233,87.7
2013-01-09,87.7,87.5,89.5,7095.798,88.3
2013-01-10,88.4,86.3,88.7,16290.547,86.9
2013-01-11,87.6,87.6,89.6,15326.345,89.4
2013-01-14,89.3,88.2,89.4,7585.124,88.6
2013-01-15,88.4,85.0,88.4,14159.952,85.8
2013-01-16,85.0,84.8,87.3,14820.926,86.9
2013-01-17,87.2,84.8,88.4,9705.419,85.0
2013-01-18,85.5,85.5,86.6,6475.096,86.3
2013-01-21,85.8,84.4,85.8,5582.525,85.0
2013-01-22,85.3,85.0,86.7,6125.079,86.2
2013-01-23,86.3,84.8,86.5,7343.061,85.1
2013-01-24,84.0,83.0,84.6,9093.18,83.7
2013-01-25,83.5,83.4,84.2,4692.099,83.8
2013-01-28,84.6,84.6,86.0,7787.534,85.6
2013-01-29,86.5,86.5,87.7,8652.278,87.7
2013-01-30,88.0,86.2,88.1,10959.929,86.9
2013-01-31,86.9,86.1,86.9,6127.65,86.3
2013-02-01,86.3,86.3,87.5,5422.288,86.5
2013-02-04,86.9,85.8,87.0,5426.705,86.1
2013-02-05,85.8,84.4,85.8,5266.249,84.8
2013-02-06,85.1,84.5,85.4,6214.332,84.5
2013-02-18,84.6,83.2,84.7,7345.847,83.3
2013-02-19,83.3,83.3,86.7,10837.708,85.5
2013-02-20,85.7,85.1,86.1,6547.156,85.6
2013-02-21,85.6,84.2,85.6,5290.251,84.3
2013-02-22,84.0,83.6,84.6,3959.684,84.1
2013-02-23,84.3,83.9,84.7,2202.68,84.2
2013-02-25,84.2,84.0,85.5,3720.728,84.1
2013-02-26,83.6,82.4,83.9,8134.198,82.4
2013-02-27,82.5,81.3,83.0,11648.646,81.5
2013-03-01,81.8,81.4,82.5,5404.488,81.5
2013-03-04,81.8,80.2,81.9,6378.659,80.6
2013-03-05,80.6,79.6,80.9,6857.197,80.4
2013-03-06,81.1,80.9,82.4,7234.5,81.5
2013-03-07,81.9,81.2,82.6,4209.312,81.2
2013-03-08,81.6,81.1,82.6,5619.519,81.2
2013-03-11,81.0,80.4,81.6,4048.675,81.2
2013-03-12,81.0,80.5,82.3,8346.271,81.8
2013-03-13,81.9,80.9,82.3,4598.416,81.0
